职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
基站测试工程师,5000-8000元,西安乾图网络科技有限公司,西安,未央,张家堡,经验不限,大专,IT服务,20人以下,
软件开发/测试（接受24届无经验）,1.2-2.4万,外企德科数字技术有限公司,西安,雁塔,漳浒寨,1-3年,本科,人力资源服务,10000人以上,合资
仪器测试工程师,3000-6000元,陕西普洛帝测控技术有限公司,西安,长安,韦曲,经验不限,本科,石油/石化,20-99人,民营
fpga测试工程师,1.6-3万,西安汇智众泽电子科技有限公司,西安,雁塔,杜城,1-3年,本科,计算机软件,20-99人,民营
测试实习生【26届】,120-130元/天,博彦科技承德有限公司,西安,雁塔,漳浒寨,无经验,本科,IT服务,1000-9999人,股份制企业
软件测试,3000-6000元,广州格林软件技术有限公司,西安,雁塔,电子城,经验不限,本科,计算机软件,100-299人,民营
软件测试,5000-8000元,陕西盛为网络科技有限公司,西安,雁塔,丈八沟,无经验,大专,计算机软件,20-99人,民营
西安测试（手机测试）,7000-14000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
实验室测试技术员,5000-7000元·13薪,华羿微电子股份有限公司,西安,未央,草滩,经验不限,本科,电子/半导体/集成电路,1000-9999人,民营
助理工程师,4000-6000元,安而信检测技术有限公司,西安,雁塔,丈八沟,经验不限,大专,检测/认证,20人以下,民营
协议测试工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
软件测试工程师,6000-8000元,郑州九墨智能科技有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,
电源测试工程师,9000-17000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
测试工程师,5000-7000元,陕西华秦科技实业股份有限公司,西安,长安,郭杜,经验不限,本科,化学原料/化学制品,500-999人,上市公司
电子车间硬件检验员,4000-6000元,陕西旋星电子科技有限公司,西安,长安,细柳,1-3年,学历不限,新能源,20-99人,民营
车载测试工程师,1-1.2万,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
软件测试,5000-7000元·13薪,西安迅华信息科技有限公司,西安,雁塔,丈八沟,经验不限,大专,互联网,20-99人,民营
车载测试（智能车技术支持）,1-1.3万,湖南拓维云创科技有限责任公司,西安,雁塔,鱼化寨,经验不限,本科,互联网,1000-9999人,上市公司
测试工程师（手机终端）,面议,中软国际,西安,雁塔,鱼化寨,经验不限,本科,计算机软件,10000人以上,上市公司
测试员,1.2-1.6万,陕西华源微云网络科技有限公司,西安,雁塔,曲江,经验不限,大专,网络/信息安全,20-99人,
穿戴（FDE）测试工程师,6000-12000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,互联网,10000人以上,民营
EMC测试工程师,面议,中软国际,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,10000人以上,上市公司
试验工程师（有出差）,3000-4000元,陕西陕航环境试验有限公司,西安,高陵,泾渭,经验不限,大专,检测/认证,100-299人,股份制企业
招聘运维环保测试技术工程师助理岗,4000-6000元,北京新桐环保工程有限公司,西安,鄠邑,甘亭,经验不限,本科,环保,20-99人,
软件测试,7000-10000元·13薪,陕西华源微云网络科技有限公司,西安,雁塔,长延堡,无经验,大专,网络/信息安全,20-99人,
测试工程师 昇腾计算 接受无经验,1.4-2.8万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
手机测试,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
电磁测试工程师,7000-10000元,西安西测测试技术股份有限公司,西安,雁塔,杜城,1-3年,本科,检测/认证,500-999人,民营
助理功率硬件工程师,8000-13000元·13薪,英特利普(上海)信息技术有限公司,西安,雁塔,漳浒寨,1-3年,大专,人力资源服务,100-299人,外商独资
车载测试实习生,6000-11000元,西安正麦科技有限公司,西安,雁塔,杜城,经验不限,本科,计算机软件,20人以下,
无人机测试工程师（西安、成都）,7000-12000元,陕西海澜翱翔航空有限公司,西安,雁塔,鱼化寨,3-5年,大专,船舶/航空/航天/火车制造,20-99人,民营
调试工程师,4000-5000元,睿信丰空天科技(北京)股份有限公司,西安,雁塔,杜城,经验不限,本科,通信/网络设备,300-499人,民营
客户端测试工程师,6000-10000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
软件测试员,1.2-1.5万·13薪,方得(青岛)人力资源有限公司,西安,新城,中山门,经验不限,学历不限,咨询服务,20-99人,民营
移动端测试,8000-10000元,陕西锐嘉电子科技有限公司,西安,碑林,文艺路,无经验,大专,计算机硬件,20-99人,民营
EMC测试/OTA测试,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
招技工 月入6000,4000-6000元·13薪,西安奇维科技有限公司,西安,鄠邑,草堂,经验不限,大专,电子/半导体/集成电路,500-999人,民营
软件测试实习生可转正（13薪）,4000-8000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,大专,计算机软件,20-99人,民营
智能穿戴测试工程师,6000-8000元,诚迈科技,西安,雁塔,漳浒寨,1-3年,大专,运营商/增值服务,1000-9999人,上市公司
电源测试工程师,8000-16000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
EMC电磁兼容测试工程师,7000-9000元·13薪,博科电测(苏州)科技有限公司,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,100-299人,民营
Java/Python/C++/C/前端/测试工程师全国,1.6-3万·14薪,外企德科数字技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人力资源服务,10000人以上,合资
交付测试工程师,5000-7000元,希诺麦田技术(深圳)有限公司,西安,雁塔,鱼化寨,1-3年,大专,通信/网络设备,100-299人,股份制企业
硬件助理工程师,4000-5000元,陕西正坤锁业有限公司,西安,新城,长乐西路,无经验,大专,金属制品业,20-99人,民营
EMC测试工程师,1.5-2.5万,北京凌昆电磁技术有限公司,西安,雁塔,杜城,1-3年,本科,金属制品业,100-299人,外商独资
芯片测试工程师,面议,中软国际,西安,碑林,张家村,经验不限,本科,计算机软件,10000人以上,上市公司
硬件助理工程师（应届生岗）,6000-10000元·13薪,深圳市玩视科技股份有限公司,西安,雁塔,漳浒寨,经验不限,本科,电子设备制造,300-499人,其它
无人机装配工程师,6000-9000元,陕西青研云信息科技有限责任公司,西安,雁塔,丈八沟,经验不限,大专,IT服务,20-99人,民营
储能电源测试工程师,9000-18000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
软件开发/测试工程师,1.5-3万,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
软件测试工程师,9000-13000元,陕西中科梓逸信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人工智能,20-99人,合资
数据测试工程师,6000-9000元,西安正麦科技有限公司,西安,雁塔,杜城,经验不限,大专,计算机软件,20人以下,
"176485 CPS-""化学测试工程师 Chemist "" ID171041",5000-6000元,Bureau Veritas,西安,长安,王寺,经验不限,本科,耐用消费品,10000人以上,外商独资
终端测试工程师,9000-12000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
测试工程师,9000-15000元,希诺麦田技术(深圳)有限公司,西安,雁塔,漳浒寨,1-3年,本科,通信/网络设备,100-299人,股份制企业
硬件测试员,5000-6000元·13薪,西安伟京电子制造有限公司,西安,,丈八沟,1-3年,大专,电子/半导体/集成电路,500-999人,民营
电源测试工程师（逆变器方向）,1-1.9万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,互联网,10000人以上,民营
java/python/C/C++/JS/测试 开发工程师,1-2万·14薪,外企德科数字技术有限公司,西安,长安,郭杜,经验不限,本科,人力资源服务,10000人以上,合资
软件测试工程师,1.2-1.5万,湖北饨冉彩网络科技有限公司,西安,未央,张家堡,1-3年,本科,新零售,20-99人,
逆变器测试工程师,9000-16000元·13薪,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
软件测试（实习生）,3000-5000元,西安润道智检科技有限公司,西安,长安,郭杜,经验不限,本科,计算机软件,100-299人,民营
H8987岗电源测试工程师（西安）,9000-14000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,1000-9999人,民营
硬件测试,8000-16000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,丈八沟,1-3年,本科,互联网,10000人以上,民营
软件测试,6000-8000元,陕西盛为网络科技有限公司,西安,雁塔,长延堡,无经验,大专,计算机软件,20-99人,民营
测试员（实习生）,3000-4000元,北京京瀚禹电子工程技术有限公司,西安,长安,郭杜,经验不限,大专,电子/半导体/集成电路,500-999人,民营
终端测试工程师,8000-15000元,软通动力信息技术(集团)股份有限公司,西安,高新区,鱼化寨,经验不限,本科,互联网,10000人以上,民营
无人机生产测试工程师,3000-4000元,因诺科技,西安,雁塔,鱼化寨,1年以下,大专,船舶/航空/航天/火车制造,300-499人,民营
测试工程师,5000-8000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,经验不限,大专,计算机软件,20-99人,民营
测试员,8000-10000元·14薪,陕西博志弘达网络科技有限公司,西安,雁塔,漳浒寨,经验不限,大专,网络/信息安全,100-299人,其它
微波测试工程师,8000-16000元,中电科瑞测(西安)科技服务有限公司,西安,雁塔,杜城,1-3年,本科,专业技术服务,100-299人,国企
整机测试工程师,7000-12000元·14薪,西安瑞新康达医疗科技有限公司,西安,雁塔,鱼化寨,1-3年,本科,医疗设备/器械,20-99人,民营
自动化测试,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
软件测试工程师,8000-10000元,西安布质科技有限责任公司,西安,莲湖,红庙坡,经验不限,大专,人工智能,20人以下,
车载数据测试,8000-10000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,大专,计算机软件,20-99人,民营
软件测试工程师,6000-12000元,天阳科技,西安,雁塔,丈八沟,经验不限,本科,计算机软件,1000-9999人,上市公司
硬件辅助设计,7000-9000元,西安华瑞恒泰信息技术有限公司,西安,莲湖,红庙坡,经验不限,本科,计算机硬件,20-99人,民营
基站软件测试,8000-15000元,江苏风云科技服务有限公司,西安,雁塔,丈八沟,1-3年,大专,IT服务,500-999人,国企
通信协议（CPE测试工程师）,6000-8000元,深圳市法本信息技术股份有限公司,西安,雁塔,丈八沟,1-3年,大专,计算机软件,1000-9999人,上市公司
软件测试工程师,6000-7000元,西安祥能电子科技有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机硬件,20-99人,民营
labview软件工程师,8000-11000元,陕西鑫汇通科技有限公司,西安,雁塔,电子城,3-5年,本科,专用设备制造,20-99人,民营
穿戴运动健康测试-FDE,9000-12000元,诚迈科技,西安,雁塔,鱼化寨,3-5年,大专,运营商/增值服务,1000-9999人,上市公司
测试工程师,4000-7000元,上海数连加智能科技有限公司,西安,未央,大明宫,3-5年,本科,电力/水利/热力/燃气,20-99人,
硬件测试,5000-8000元,陕西中科梓逸信息技术有限公司,西安,雁塔,丈八沟,经验不限,大专,人工智能,20-99人,合资
自动化测试开发工程师,面议,中软国际,西安,碑林,张家村,5-10年,本科,计算机软件,10000人以上,上市公司
软件测试（手表手环）,6000-12000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
java/python/C/C++/JS/测试 开发工程师,1.2-2.4万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
硬件测试技术员,5000-7000元,陕西西众微电子测控科技有限公司,西安,碑林,太乙路,3-5年,本科,电子/半导体/集成电路,20-99人,
软件测试工程师(手表手环),8000-16000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,互联网,10000人以上,民营
软件开发/测试工程师,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
测试工程师,5000-8000元·13薪,西安唐棣自动化科技有限公司,西安,雁塔,电子城,3-5年,本科,仪器仪表制造,20-99人,民营
测试工程师,6000-10000元,西安凌北电子科技有限公司,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,20-99人,其它
硬件测试（西安）,8000-12000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
软件测试助理,6000-8000元,陕西博志弘达网络科技有限公司,西安,长安,郭杜,无经验,大专,网络/信息安全,100-299人,其它
硬件 测试（餐补/稳定/线上面/13薪）,1-1.5万,拓保软件,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,1000-9999人,民营
